# Generated 64 instructions  seed=42  hazard=0.4
0 1 8 7  # ADD x1, x8, x7
1 3 2 1  # SUB x3, x2, x1
0 2 1 13  # ADD x2, x1, x13
1 8 0 5  # SUB x8, x0, x5
3 6 1 10  # SHL x6, x1, x10
0 2 3 8  # ADD x2, x3, x8
0 12 3 12  # ADD x12, x3, x12
0 9 12 11  # ADD x9, x12, x11
4 4 1 9  # SHR x4, x1, x9
0 14 2 12  # ADD x14, x2, x12
2 3 6 2  # MUL x3, x6, x2
4 11 6 12  # SHR x11, x6, x12
2 15 7 1  # MUL x15, x7, x1
1 14 12 2  # SUB x14, x12, x2
1 15 10 15  # SUB x15, x10, x15
3 15 14 8  # SHL x15, x14, x8
1 12 8 13  # SUB x12, x8, x13
4 7 8 2  # SHR x7, x8, x2
0 14 8 13  # ADD x14, x8, x13
4 2 15 0  # SHR x2, x15, x0
0 11 8 10  # ADD x11, x8, x10
0 5 14 11  # ADD x5, x14, x11
4 13 7 9  # SHR x13, x7, x9
4 10 13 0  # SHR x10, x13, x0
4 6 3 9  # SHR x6, x3, x9
1 1 9 15  # SUB x1, x9, x15
0 13 4 15  # ADD x13, x4, x15
4 3 14 6  # SHR x3, x14, x6
2 7 11 14  # MUL x7, x11, x14
0 4 13 11  # ADD x4, x13, x11
4 4 8 8  # SHR x4, x8, x8
2 2 8 6  # MUL x2, x8, x6
4 3 15 15  # SHR x3, x15, x15
3 4 14 14  # SHL x4, x14, x14
3 14 3 13  # SHL x14, x3, x13
0 4 15 10  # ADD x4, x15, x10
2 8 9 3  # MUL x8, x9, x3
0 11 0 7  # ADD x11, x0, x7
1 7 6 1  # SUB x7, x6, x1
1 7 14 15  # SUB x7, x14, x15
2 7 15 12  # MUL x7, x15, x12
1 1 1 1  # SUB x1, x1, x1
0 10 5 9  # ADD x10, x5, x9
1 2 7 7  # SUB x2, x7, x7
4 10 9 10  # SHR x10, x9, x10
2 4 10 14  # MUL x4, x10, x14
1 11 14 9  # SUB x11, x14, x9
0 8 3 11  # ADD x8, x3, x11
4 5 13 7  # SHR x5, x13, x7
2 5 12 0  # MUL x5, x12, x0
4 5 3 4  # SHR x5, x3, x4
2 2 4 11  # MUL x2, x4, x11
2 4 8 8  # MUL x4, x8, x8
0 2 8 13  # ADD x2, x8, x13
1 11 5 13  # SUB x11, x5, x13
4 1 10 11  # SHR x1, x10, x11
4 9 10 13  # SHR x9, x10, x13
0 15 11 11  # ADD x15, x11, x11
4 15 4 7  # SHR x15, x4, x7
1 13 13 13  # SUB x13, x13, x13
3 13 7 9  # SHL x13, x7, x9
3 14 15 15  # SHL x14, x15, x15
2 5 7 11  # MUL x5, x7, x11
3 6 9 8  # SHL x6, x9, x8
